course_id,university_id,university_name,country,city,region,field,level,program_name,roi_score,employment_rate,mean_start_salary,tuition_fee_intl,satisfaction_score,teaching_quality,difficulty_score,program_selectivity,description
C0001,U074,Riverside University,Singapore,Singapore,Asia-Pacific,Marketing Analytics,Bachelors,Bachelors in Marketing Analytics,72.05760669485652,82.6,97284,31771,67.17092645824292,63.068482980761615,82.90775613560676,0.09,"This bachelors program in Marketing Analytics emphasizes customer insight, strategy, communication, and practical business problem solving. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Singapore, Singapore and is designed for students seeking research depth. Graduates commonly target roles in consulting."
C0002,U031,Pacific University,Japan,Osaka,Asia-Pacific,Business Analytics,Bachelors,Bachelors in Business Analytics,63.91172897613281,78.9,94482,59057,67.04327197588829,61.11599900181102,77.62016902545336,0.21,"This bachelors program in Business Analytics emphasizes data, analytics, technology, applied projects, and employer-aligned skills. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Osaka, Japan and is designed for students seeking high ROI. Graduates commonly target roles in finance."
C0003,U145,Metro University,UK,Edinburgh,Europe,Finance,Masters,Masters in Finance,88.50708075617705,94.6,102079,20476,93.53176851541764,83.76642039675609,55.024175649595946,0.09,"This masters program in Finance emphasizes financial analysis, markets, global business decisions, and career mobility. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Edinburgh, UK and is designed for students seeking international mobility. Graduates commonly target roles in technology."
C0004,U001,Global University,Netherlands,Amsterdam,Europe,Information Systems,Masters,Masters in Information Systems,68.0960745922496,91.6,108210,34439,41.617208351181844,68.32115214507567,77.01306182164063,0.36,"This masters program in Information Systems emphasizes data, analytics, technology, applied projects, and employer-aligned skills. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Amsterdam, Netherlands and is designed for students seeking international mobility. Graduates commonly target roles in consulting."
C0005,U005,Applied University,Singapore,Singapore,Asia-Pacific,Data Science,MBA,MBA in Data Science,85.81721245140096,87.3,130884,36036,74.40455855925875,94.1609218912218,87.15921054051304,0.49,"This mba program in Data Science emphasizes data, analytics, technology, applied projects, and employer-aligned skills. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Singapore, Singapore and is designed for students seeking research depth. Graduates commonly target roles in technology."
C0006,U011,Summit University,UK,London,Europe,International Business,MBA,MBA in International Business,73.18740042438975,77.1,93607,23975,97.38130208233412,80.03332787196668,69.90793563102619,0.17,"This mba program in International Business emphasizes financial analysis, markets, global business decisions, and career mobility. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in London, UK and is designed for students seeking industry connections. Graduates commonly target roles in technology."
C0007,U097,Riverside University,Singapore,Singapore,Asia-Pacific,Data Science,Masters,Masters in Data Science,83.1560102125501,99.0,103088,28107,70.79842076977468,77.14003996503708,78.58453331474244,0.05,"This masters program in Data Science emphasizes data, analytics, technology, applied projects, and employer-aligned skills. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Singapore, Singapore and is designed for students seeking research depth. Graduates commonly target roles in analytics."
C0008,U082,Northbridge University,Germany,Munich,Europe,Data Science,Masters,Masters in Data Science,80.24765952792687,86.0,99515,41285,74.16072080268698,75.28015989779736,81.35282431646812,0.3,"This masters program in Data Science emphasizes data, analytics, technology, applied projects, and employer-aligned skills. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Munich, Germany and is designed for students seeking research depth. Graduates commonly target roles in analytics."
C0009,U089,Metro University,Germany,Munich,Europe,Data Science,Masters,Masters in Data Science,71.3579340439763,87.5,103054,17150,76.71006864672226,70.84339770025534,73.58350343435727,0.22,"This masters program in Data Science emphasizes data, analytics, technology, applied projects, and employer-aligned skills. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Munich, Germany and is designed for students seeking high ROI. Graduates commonly target roles in technology."
C0010,U079,Northbridge University,Singapore,Singapore,Asia-Pacific,Information Systems,Certificate,Certificate in Information Systems,68.53270240344158,89.2,98382,30459,71.6185810665448,79.29740786758529,96.53241765696143,0.15,"This certificate program in Information Systems emphasizes data, analytics, technology, applied projects, and employer-aligned skills. Students complete applied projects with case-based assignments and career-focused assessment. The program is located in Singapore, Singapore and is designed for students seeking high ROI. Graduates commonly target roles in operations."
