university_id,university_name,country,city,region,institution_type,academic_score,industry_score,satisfaction_score,extracurricular_score,location_score,qs_score_proxy,roi_score,tuition_fee_intl,student_count,intl_student_pct
U001,Global University,Netherlands,Amsterdam,Europe,research,89.31702583621376,90.3160511093918,58.831731561816284,71.88267537754508,85.74805825281722,73.9232597717876,66.89429095711085,38564,18224,19.8
U002,Northbridge University,Singapore,Singapore,Asia-Pacific,newer_applied,63.19999643950785,71.72207086396655,77.74546071825418,67.94272048405784,84.99725221670658,50.442867917212176,75.37553303870806,21008,12794,19.9
U003,Riverside University,Singapore,Singapore,Asia-Pacific,teaching_focused,55.78624307415926,78.9553888924947,89.45434844160503,66.19121794920133,81.29468934604812,73.30228193897037,72.97591541869011,33611,3776,32.7
U004,Pacific University,Germany,Munich,Europe,teaching_focused,73.7491065284309,77.05408831158888,76.93640259994424,62.3336462917049,72.57325331847058,69.73700416833682,71.22109153307471,27233,5805,15.6
U005,Applied University,Singapore,Singapore,Asia-Pacific,research,90.07485956299128,85.98973613634021,76.94332330108762,79.79498017520262,73.44292697316762,86.54983876926798,81.8162383120513,37388,14808,14.4
U006,Northbridge University,UK,Edinburgh,Europe,newer_applied,62.351908905776995,86.03532897892023,84.89308820038107,63.19392220855388,76.74921772623034,51.97535166059255,87.40022177988143,35997,8003,26.7
U007,Global University,Australia,Melbourne,Asia-Pacific,research,85.58127915436832,86.6505638977652,85.94280843008586,78.22620587557023,69.06982475889109,90.08355313955843,81.91097900639942,33746,20620,20.6
U008,Northbridge University,Germany,Hamburg,Europe,private_professional,74.51303498372324,92.26549322345622,77.05693496045023,80.2015902710422,79.83498017488796,73.09048346904754,81.77142014320572,39755,17524,13.5
U009,Northbridge University,USA,Austin,North America,teaching_focused,65.0375603635114,65.94685424294781,74.83034518951268,98.54930733185027,71.337575658387,51.03734204718644,63.98498088286882,37404,7692,15.8
U010,Riverside University,Canada,Calgary,North America,research,93.60708916127491,87.04488192632368,63.58233976773987,72.2425142333694,82.36615861212599,96.65911251055523,84.35883898343678,30161,29428,30.0
U011,Summit University,UK,London,Europe,newer_applied,75.62514879842489,61.98148937207719,86.69485675040217,88.71410063228981,77.6975595556135,37.10410042356243,71.35060656359286,22319,16667,16.4
U012,Applied University,Netherlands,Utrecht,Europe,teaching_focused,75.42410272791543,50.24240907945922,87.37385397302026,82.41165086896258,96.10623382124504,53.62418608236886,66.40458956188185,35740,18785,28.2
U013,Summit University,USA,Austin,North America,teaching_focused,69.40407233736886,68.35306626323596,73.91970986621341,84.52581804890912,80.32348591857802,74.99396814264487,77.49350930571175,24929,17550,31.3
U014,Summit University,Japan,Osaka,Asia-Pacific,private_professional,68.71308158763226,67.52343843599161,76.20527234786624,77.88999542103288,90.40217748607745,43.369185279337366,63.95940846657243,37747,17343,39.2
U015,Pacific University,Australia,Brisbane,Asia-Pacific,teaching_focused,64.88388456299582,63.47351772027649,83.46028803410127,77.72921579853315,79.09101324314535,64.7669079933002,75.93037876201039,36790,17525,27.2
U016,Metro University,Australia,Melbourne,Asia-Pacific,teaching_focused,83.83879020158842,73.17419425016904,71.51724256484134,73.05492431674388,78.10676644003038,65.27223386365866,71.29163863509608,34546,9058,30.2
U017,Riverside University,Singapore,Singapore,Asia-Pacific,research,85.22157200132811,62.25837509245548,54.58596502053835,58.40474841150865,78.01331636784133,79.965960190225,46.73817890165639,55506,27670,32.5
U018,Northbridge University,UK,Manchester,Europe,teaching_focused,79.24097567965248,65.16876502012377,86.13114383909597,77.05765992784086,87.0614942983347,62.23931814465837,70.2942781057867,37103,10925,18.5
U019,Riverside University,Germany,Hamburg,Europe,private_professional,70.61516125993445,79.72472935542754,90.11638124901266,73.26936686045022,79.11066870766925,47.952462089453434,82.37901433234794,33449,8932,32.7
U020,Pacific University,Australia,Melbourne,Asia-Pacific,teaching_focused,66.27757032592025,75.4367819914774,78.88743357798005,76.7316687166558,94.00760862527729,62.45571839903814,79.00937171086757,26438,3498,8.1
U021,Global University,Canada,Montreal,North America,research,98.46903753918457,71.9032589905672,52.51171320175908,69.91183842306312,94.94248873605186,89.2869886008669,59.01702339102894,48201,13375,38.7
U022,Riverside University,Australia,Sydney,Asia-Pacific,teaching_focused,70.10086431034665,84.97604544377843,83.86390501370316,67.53926674751135,65.03526899909646,49.0505752552014,74.11881971784068,30264,12011,30.0
U023,Summit University,Japan,Tokyo,Asia-Pacific,newer_applied,68.10991530981862,77.4818173137915,91.37948625913793,73.78260009864297,82.58889010853545,56.240162446607556,76.06597421204935,37758,11013,28.7
U024,Riverside University,USA,Boston,North America,research,79.81844939064327,71.70559756443166,63.814911187895675,71.99723101076569,67.9113886293736,77.19392218115672,68.0100122414274,53052,17955,14.2
U025,Northbridge University,Singapore,Singapore,Asia-Pacific,teaching_focused,75.58918939241605,69.37014653065755,68.48267261861963,86.11653070891971,79.69328348961356,80.70423897815517,66.0122855763126,42816,7650,33.3
U026,Summit University,Germany,Hamburg,Europe,private_professional,83.97573798255394,79.48385699620579,71.73667717782963,79.83136139180726,78.33768334489024,58.13361159980548,73.06095973058552,47309,14548,23.0
U027,Northbridge University,Netherlands,Utrecht,Europe,teaching_focused,80.98833425353213,87.1456415049111,81.60187792238548,76.99451633297564,89.22289005994007,65.24518316374555,79.19848432928903,42727,9183,25.6
U028,Pacific University,Canada,Montreal,North America,newer_applied,73.38918904568031,71.22618269424679,76.68618045356462,81.24100229623355,77.88373030546585,25.59216471530647,69.94945909505965,36205,22336,27.8
U029,Riverside University,Japan,Tokyo,Asia-Pacific,newer_applied,70.56154043350583,87.33342025069074,77.68203712540324,56.22034530307479,63.04960612977514,38.6837288902757,86.72533234284326,25705,13456,24.1
U030,Riverside University,Singapore,Singapore,Asia-Pacific,research,82.69656181096902,79.95485830103758,63.28122475882131,67.9943696877821,86.56836591967883,81.71934568047087,63.52576314864238,56732,36233,17.5
U031,Pacific University,Japan,Osaka,Asia-Pacific,research,71.13272992983136,73.26820480487315,60.40867338446302,74.35354407828586,87.65296686730235,90.39229183044012,54.545603011065914,59885,17799,20.8
U032,Applied University,UK,London,Europe,private_professional,85.16216468145059,69.15747751660658,76.13640073534054,85.26010925461237,76.24410524952859,54.59282586169134,79.7316524229111,26301,13920,15.2
U033,Applied University,Netherlands,Amsterdam,Europe,private_professional,72.48071642098667,85.22978427976528,55.38188318947414,71.69094326934733,84.81572516299786,56.805084695022586,69.92257398567182,37445,14076,25.5
U034,Riverside University,Netherlands,Amsterdam,Europe,newer_applied,57.20152337848847,89.55970385308191,76.08304984456518,63.15677449499661,85.33221306387877,38.66627230673295,82.06306270102925,19914,6618,21.6
U035,Applied University,Canada,Vancouver,North America,teaching_focused,72.91889174571116,82.41010283786377,85.18981032035116,84.22596149142765,72.85731726916492,72.26579846552079,77.96140933886112,32162,21079,20.9
U036,Northbridge University,Germany,Munich,Europe,newer_applied,65.10119216832219,84.0265225560743,82.43256699408388,71.1631604046973,83.75836480553772,57.05687767906862,74.44680928969545,39340,21765,24.6
U037,Summit University,Australia,Sydney,Asia-Pacific,newer_applied,47.66955804580361,75.44452301103381,85.07252359151445,68.70574726715316,69.86871349646603,25.258136899561357,81.69017479876842,25420,2000,40.3
U038,Summit University,Japan,Kyoto,Asia-Pacific,teaching_focused,64.7355676514365,74.48826453976848,78.73287309771192,88.38998527513107,81.5323362792747,62.437026680842735,73.16397532446163,38515,6699,19.5
U039,Summit University,Singapore,Singapore,Asia-Pacific,teaching_focused,54.83314592120047,74.10353000633197,75.4705725109939,65.71739979784556,84.85753848837663,61.58373965713076,84.48138022495596,24699,17533,19.0
U040,Applied University,USA,Chicago,North America,research,82.16904114563735,66.94751382788738,91.74141743400597,70.20348161844525,81.95981464665181,83.6143307211802,72.61750957087854,23270,25066,22.2
U041,Global University,Australia,Melbourne,Asia-Pacific,private_professional,59.47208409557419,69.72726729289874,77.34932818887573,74.57861123581127,68.0764585993213,60.85913616049302,74.20790049570321,25089,22966,31.1
U042,Riverside University,UK,London,Europe,teaching_focused,72.61894646118094,63.10972638937389,94.6618685408876,79.31128034947727,70.8706722263067,51.62753845673544,67.84096663593674,29667,2801,28.8
U043,Metro University,UK,London,Europe,research,81.68036714199188,66.67042162603025,79.88801007652205,72.62822412477304,76.93846610587651,89.21776430418699,66.39331974353709,51170,25434,25.7
U044,Riverside University,Netherlands,Utrecht,Europe,teaching_focused,79.4640971231068,63.906120674177444,80.04810097711298,66.98362621097013,79.789665061399,64.79757349786709,74.3187125667931,11813,10612,25.1
U045,Pacific University,Germany,Frankfurt,Europe,private_professional,77.93736919344916,69.52102288825809,69.01624008138808,63.028397796334794,86.38631247273089,79.9670897252724,54.36426708839091,57839,17431,15.0
U046,Metro University,USA,Seattle,North America,newer_applied,40.755199498854395,68.03104744529523,86.61657701744431,67.17259152561307,76.6061285123103,52.0826046070844,75.86482975247878,22074,15457,22.6
U047,Metro University,Australia,Sydney,Asia-Pacific,newer_applied,57.836215797226515,69.19255725429446,87.93891933007295,71.19110859629899,75.49449532307685,57.02270313434881,89.5152850722977,14902,13626,30.4
U048,Riverside University,USA,Seattle,North America,research,84.32574933778882,85.40794478170505,76.92410819815211,73.86058401300453,77.15636066084404,81.80628840657411,76.20759803281298,45582,24200,13.7
U049,Riverside University,Singapore,Singapore,Asia-Pacific,teaching_focused,75.8366473954647,82.66424635165228,90.79054444539608,80.76618439312462,83.63768710706289,58.47875279696326,91.94359545234279,28022,18744,19.9
U050,Summit University,Netherlands,Utrecht,Europe,newer_applied,60.571125582359656,66.21236284217693,78.4456539193911,72.39570443740367,89.08724144073962,56.32687478309887,80.42153472347978,20005,23090,28.1
U051,Pacific University,UK,London,Europe,newer_applied,61.992247314648445,79.26423365070714,78.74444612902334,55.93016360876192,75.11816076243377,56.95057433552316,78.6557136203911,16242,6309,25.6
U052,Global University,Japan,Tokyo,Asia-Pacific,private_professional,62.88572990099219,86.77174685708796,90.05619597180026,87.41794032308485,74.07276625818993,75.52505289303338,82.1062167966329,32887,9384,20.6
U053,Summit University,Netherlands,Amsterdam,Europe,research,78.61754177793736,71.43473307926553,52.16593278960488,85.73934522259765,86.32723202148615,82.42447928939688,63.90085028715718,48946,27539,5.4
U054,Metro University,UK,Manchester,Europe,teaching_focused,82.16100437260573,63.45220626366087,73.48064487658577,72.91411868086544,76.95342581758133,50.74580992253111,60.80517362731154,29956,7331,31.2
U055,Global University,Canada,Calgary,North America,research,89.11779177088218,78.12790699934577,90.76651626398838,58.33627650501173,75.95180253950889,88.7689706286832,67.8923938806972,53166,13142,8.7
U056,Metro University,Japan,Kyoto,Asia-Pacific,teaching_focused,90.05187212342034,65.41131873327924,91.60273868738759,71.84334145410725,82.64369860756896,45.492642805514386,81.7645106661046,35906,2000,14.1
U057,Pacific University,Germany,Frankfurt,Europe,research,88.02889584917928,75.70660858464872,66.50122033237538,77.74988284838494,79.46676320136898,93.83256714334519,69.7623371107599,31061,29944,6.6
U058,Metro University,UK,Edinburgh,Europe,research,100.0,79.34104830210292,76.12560596363065,56.073774076529396,83.0337555954211,89.00250816748265,71.43033265714307,51804,30123,27.4
U059,Northbridge University,Japan,Tokyo,Asia-Pacific,research,74.14713677703148,69.89520403331571,70.30943956388164,66.55621773766416,90.57159178305396,92.8218677292295,68.32749676032661,47201,18602,32.4
U060,Metro University,Canada,Montreal,North America,teaching_focused,59.54696661180877,74.84807961076511,75.03699453252602,89.03835345587491,81.47712227041833,41.18070592116278,68.35446097482726,42875,9692,26.1
U061,Metro University,Germany,Hamburg,Europe,private_professional,57.991407859996386,82.02842688412528,93.22782982550726,58.51197039838584,72.49156596499694,67.56714484251253,74.22123960908044,48571,3625,24.8
U062,Northbridge University,Netherlands,Amsterdam,Europe,research,74.59284909816571,82.9667728977855,88.05574045639953,79.45832421813745,94.34373411616114,84.71596595863545,83.3047350580818,47742,39944,22.3
U063,Summit University,USA,Boston,North America,teaching_focused,68.65036127354841,81.63942246660534,86.60115681340568,74.05281679563016,77.61341050222453,59.74994096629624,79.22509848668382,39453,11169,21.4
U064,Northbridge University,Japan,Osaka,Asia-Pacific,research,73.71649211597337,76.88495419133497,55.680418742539786,74.30704099416413,77.63914187142595,89.65199829674131,73.74462189400809,45094,23168,21.3
U065,Pacific University,USA,San Diego,North America,newer_applied,48.97842914090999,71.99618639816683,85.99790096089689,73.79335598433497,63.65993149790272,36.03440971212062,80.66379899906289,32041,16314,25.1
U066,Applied University,USA,Austin,North America,teaching_focused,75.0415828080477,74.88468596227058,87.91853313551728,83.64624580443697,75.50884001978947,70.33922154548904,67.89790536697122,34214,10158,18.0
U067,Global University,Canada,Montreal,North America,research,77.24302568312707,100.0,60.67059881221124,69.74685347716512,78.62798158130369,82.26514924511638,69.10561847989193,48541,29338,23.4
U068,Global University,Netherlands,Utrecht,Europe,research,76.16388054344878,82.5093000916561,57.57515125772861,84.50134146314349,85.88799277650885,86.17280922727244,56.08649122938766,44214,29996,30.7
U069,Applied University,USA,San Diego,North America,newer_applied,63.74055590347882,86.65480375065351,77.86169239919703,81.68412696167022,72.8814823501946,73.28787935981175,88.71284854424908,23641,23295,18.3
U070,Summit University,USA,Chicago,North America,teaching_focused,78.28939936151362,66.38137467492399,88.67044265472286,87.91175856581955,69.3257858031967,66.60075010299647,72.89098146998589,29251,10922,10.4
U071,Northbridge University,Japan,Kyoto,Asia-Pacific,private_professional,90.78750479865568,77.68882469162668,84.33682331506908,89.347759904514,77.37726444364243,40.73043628576923,71.73274548543083,38739,15349,33.6
U072,Global University,Netherlands,Amsterdam,Europe,teaching_focused,77.0515703482715,89.63073739316567,84.76068181747145,61.329858886563365,82.39023809646328,63.696528894708514,87.52121832358095,30978,13318,11.9
U073,Applied University,USA,Austin,North America,teaching_focused,67.09769047612491,66.89838752051213,86.00105773507434,77.6756543198962,74.76136940754165,68.5854427267283,64.38660099176502,45071,12296,12.0
U074,Riverside University,Singapore,Singapore,Asia-Pacific,research,82.3767209067468,80.01409156475009,67.83577103927247,83.69553946103275,80.57392390237244,100.0,75.38868184667089,38222,29174,25.1
U075,Global University,USA,Chicago,North America,private_professional,64.25932212943503,79.20683535101234,71.2839445959801,71.34768322262298,77.36396974841293,61.49585686122072,72.3551498717659,31704,10913,18.2
U076,Pacific University,UK,London,Europe,newer_applied,66.31805977985611,72.0666118767264,82.22995858347853,80.50606676346568,67.48100701314057,50.10208974821894,79.26926966248702,26301,9458,18.6
U077,Northbridge University,Netherlands,Rotterdam,Europe,teaching_focused,69.1908744494333,78.85910742670971,87.90025062468474,69.36884279759653,86.43293700191937,56.44453267186579,74.89114552108639,34442,2000,31.7
U078,Global University,Canada,Calgary,North America,research,88.56971586751646,73.26775151418339,66.68961593001004,54.68283783437046,68.09304513642873,93.1248652513315,59.94496314389653,52720,22578,33.3
